,片名,国家,年代,导演,评分,人数,类型,短评
133,风之谷,日本,1984,宫崎骏,8.8,260323,动画 奇幻 冒险,动画片的圣经。
134,神偷奶爸,美国 法国,2010,皮艾尔·柯芬,8.6,627089,喜剧 动画 冒险,Mr. I Don't Care其实也有Care的时候。
135,上帝之城,巴西 法国,2002,费尔南多·梅里尔斯,8.9,213134,犯罪 剧情,被上帝抛弃了的上帝之城。
136,怪兽电力公司,美国,2001,彼特·道格特,8.7,399998,儿童 喜剧 动画 奇幻 冒险,不要给它起名字，起了名字就有感情了。
137,玩具总动员3,美国,2010,李·昂克里奇,8.8,310212,喜剧 动画 奇幻 冒险,跨度十五年的欢乐与泪水。
138,血战钢锯岭,美国 澳大利亚,2016,梅尔·吉布森,8.7,518631,剧情 传记 历史 战争,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
139,电锯惊魂,美国,2004,詹姆斯·温,8.7,318292,悬疑 惊悚 恐怖,真相就在眼前。
140,岁月神偷,中国香港 中国大陆,2010,罗启锐,8.7,421502,剧情 家庭,岁月流逝，来日可追。
141,喜宴,中国台湾 美国,1993,李安,8.9,215679,剧情 喜剧 爱情 同性 家庭,中国家庭的喜怒哀乐忍。
142,完美的世界,美国,1993,克林特·伊斯特伍德,9.1,144191,剧情 犯罪,坏人的好总是比好人的好来得更感人。
143,七武士,日本,1954,黑泽明,9.2,120274,动作 冒险 剧情,时代悲歌。
144,时空恋旅人,英国,2013,理查德·柯蒂斯,8.7,337121,喜剧 爱情 奇幻,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
145,谍影重重3,美国 德国,2007,保罗·格林格拉斯,8.8,277482,动作 悬疑 惊悚,像吃了苏打饼一样干脆的电影。
146,傲慢与偏见,法国 英国 美国,2005,乔·怀特,8.6,471287,剧情 爱情,爱是摈弃傲慢与偏见之后的曙光。
147,英雄本色,中国香港,1986,吴宇森,8.7,310337,剧情 动作 犯罪,英雄泪短，兄弟情长。 
148,疯狂原始人,美国,2013,科克·德·米科,8.7,561362,喜剧 动画 冒险,老少皆宜，这就是好莱坞动画的魅力。
149,真爱至上,英国 美国 法国,2003,理查德·柯蒂斯,8.6,471542,喜剧 剧情 爱情,爱，是个动词。
150,教父3,美国,1990,弗朗西斯·福特·科波拉,8.9,213990,剧情 犯罪,任何信念的力量，都无法改变命运。
151,萤火虫之墓,日本,1988,高畑勋,8.7,292567,动画 剧情 战争,幸福是生生不息，却难以触及的远。 
152,东邪西毒,中国香港 中国台湾,1994,王家卫,8.6,393553,剧情 动作 爱情 武侠 古装,电影诗。
153,被解救的姜戈,美国,2012,昆汀·塔伦蒂诺,8.7,392967,剧情 动作 西部 冒险,热血沸腾，那个低俗、性感的无耻混蛋又来了。
154,心迷宫,中国大陆,2014,忻钰坤,8.7,304855,剧情 犯罪 悬疑,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
155,爆裂鼓手,美国,2014,达米恩·查泽雷,8.7,351293,剧情 音乐,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
156,纵横四海,中国香港,1991,吴宇森,8.8,251954,剧情 喜剧 动作 犯罪,香港浪漫主义警匪动作片的巅峰之作。
157,三块广告牌,美国 英国,2017,马丁·麦克唐纳,8.7,542589,剧情 犯罪,怼天怼地，你走后，她与世界为敌。
158,贫民窟的百万富翁,英国 美国,2008,丹尼·鲍尔,8.6,525478,剧情 爱情,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
159,记忆碎片,美国,2000,克里斯托弗·诺兰,8.6,400454,犯罪 剧情 悬疑 惊悚,一个针管引发的血案。
160,黑天鹅,美国,2010,达伦·阿罗诺夫斯基,8.5,585073,剧情 惊悚,黑暗之美。
161,荒蛮故事,阿根廷 西班牙,2014,达米安·斯兹弗隆,8.8,251306,剧情 喜剧 犯罪,始于荒诞，止于更荒诞。
162,哪吒闹海,中国大陆,1979,严定宪,9.0,149632,冒险 动画 奇幻,想你时你在闹海。
163,达拉斯买家俱乐部,美国,2013,让-马克·瓦雷,8.8,288216,剧情 传记 同性,Jared Leto的腿比女人还美！
164,我是山姆,美国,2001,杰茜·尼尔森,8.9,179569,剧情 家庭,爱并不需要智商 。
