,片名,国家,年代,导演,评分,人数,类型,短评
39,天堂电影院,意大利 法国,1988,朱塞佩·托纳多雷,9.2,443634,剧情 爱情,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
40,大话西游之月光宝盒,中国香港 中国大陆,1995,刘镇伟,9.0,755163,喜剧 爱情 奇幻 古装,旷古烁今。
41,哈尔的移动城堡,日本,2004,宫崎骏,9.0,620563,动画 奇幻 冒险,带着心爱的人在天空飞翔。
42,罗马假日,美国,1953,威廉·惠勒,9.0,628483,喜剧 剧情 爱情,爱情哪怕只有一天。
43,搏击俱乐部,美国 德国,1999,大卫·芬奇,9.0,583095,剧情 动作 悬疑 惊悚,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
44,素媛,韩国,2013,李濬益,9.2,371755,剧情,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
45,闻香识女人,美国,1992,马丁·布莱斯,9.0,542530,剧情,史上最美的探戈。
46,何以为家,黎巴嫩 法国 美国,2018,娜丁·拉巴基,9.1,480713,剧情,凝视卑弱生命，用电影改变命运。
47,辩护人,韩国,2013,杨宇硕,9.2,378131,剧情,电影的现实意义大过电影本身。
48,窃听风暴,德国,2006,弗洛里安·亨克尔·冯·多纳斯马尔克,9.1,369378,剧情 悬疑,别样人生。
49,死亡诗社,美国,1989,彼得·威尔,9.1,449203,剧情,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
50,教父2,美国,1974,弗朗西斯·福特·科波拉,9.2,324285,剧情 犯罪,优雅的孤独。
51,指环王2：双塔奇兵,美国 新西兰,2002,彼得·杰克逊,9.1,437588,剧情 动作 奇幻 冒险,承前启后的史诗篇章。
52,狮子王,美国,1994,Roger,9.0,491277,动画 冒险 歌舞,动物版《哈姆雷特》。
53,两杆大烟枪,英国,1998,Guy,9.1,394693,剧情 喜剧 犯罪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
54,飞越疯人院,美国,1975,米洛斯·福尔曼,9.1,398596,剧情,自由万岁。
55,指环王1：魔戒再现,新西兰 美国,2001,彼得·杰克逊,9.0,491655,剧情 动作 奇幻 冒险,传说的开始。
56,V字仇杀队,美国 英国 德国,2005,詹姆斯·麦克特格,8.9,690311,剧情 动作 科幻 惊悚,一张面具背后的理想与革命。
57,饮食男女,中国台湾 美国,1994,李安,9.1,350586,剧情 家庭,人生不能像做菜，把所有的料都准备好了才下锅。
58,美丽心灵,美国,2001,朗·霍华德,9.0,482734,传记 剧情,爱是一切逻辑和原由。
59,哈利·波特与魔法石,美国 英国,2001,Chris,8.9,538222,奇幻 冒险,童话世界的开端。
60,大闹天宫,中国大陆,1961,万籁鸣,9.3,222997,动画 奇幻,经典之作，历久弥新。
61,钢琴家,法国 德国 英国 波兰,2002,罗曼·波兰斯基,9.1,321933,剧情 传记 历史 战争 音乐,音乐能化解仇恨。
62,黑客帝国,美国 澳大利亚,1999,安迪·沃卓斯基,9.0,484777,动作 科幻,视觉革命。
63,本杰明·巴顿奇事,美国,2008,大卫·芬奇,8.9,631998,剧情 爱情 奇幻,在时间之河里感受溺水之苦。
64,海豚湾,美国,2009,路易·西霍尤斯,9.3,263123,纪录片,海豚的微笑，是世界上最高明的伪装。
65,我不是药神,中国大陆,2018,文牧野,9.0,1318963,剧情 喜剧,对我们国家而言，这样的电影多一部是一部。
66,情书,日本,1995,岩井俊二,8.9,588246,剧情 爱情,暗恋的极致。
67,看不见的客人,西班牙,2016,奥里奥尔·保罗,8.8,715899,剧情 犯罪 悬疑 惊悚,你以为你以为的就是你以为的。
68,让子弹飞,中国大陆 中国香港,2010,姜文,8.8,1032225,剧情 喜剧 动作 西部,你给我翻译翻译，神马叫做TMD的惊喜。
69,猫鼠游戏,美国 加拿大,2002,史蒂文·斯皮尔伯格,8.9,470489,传记 犯罪 剧情,骗子大师和执著警探的你追我跑故事。 
70,西西里的美丽传说,意大利 美国,2000,朱塞佩·托纳多雷,8.9,613732,剧情 战争 情色,美丽无罪。
71,小鞋子,伊朗,1997,马基德·马基迪,9.2,245278,剧情 儿童 家庭,奔跑的孩子是天使。
72,拯救大兵瑞恩,美国,1998,史蒂文·斯皮尔伯格,9.0,407039,剧情 历史 战争,美利坚精神输出大片No1.
73,美国往事,美国 意大利,1984,赛尔乔·莱翁内,9.2,271495,犯罪 剧情,往事如烟，无处祭奠。
74,音乐之声,美国,1965,罗伯特·怀斯,9.0,375412,剧情 传记 爱情 歌舞,用音乐化解仇恨，让歌声串起美好。
75,致命魔术,美国 英国,2006,克里斯托弗·诺兰,8.9,541352,剧情 悬疑 惊悚,孪生蝙蝠侠大战克隆金刚狼。
76,七宗罪,美国,1995,大卫·芬奇,8.8,638471,剧情 犯罪 悬疑 惊悚,警察抓小偷，老鼠玩死猫。
77,穿条纹睡衣的男孩,英国 美国,2008,马克·赫尔曼,9.1,297582,剧情 战争,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
78,低俗小说,美国,1994,昆汀·塔伦蒂诺,8.8,541868,剧情 喜剧 犯罪,故事的高级讲法。
79,被嫌弃的松子的一生,日本,2006,中岛哲也,8.9,485033,剧情 歌舞,以戏谑来戏谑戏谑。
80,沉默的羔羊,美国,1991,乔纳森·戴米,8.8,538803,剧情 犯罪 惊悚,安东尼·霍普金斯的顶级表演。
81,蝴蝶效应,美国 加拿大,2004,埃里克·布雷斯,8.8,594280,剧情 悬疑 科幻 惊悚,人的命运被自己瞬间的抉择改变。
82,春光乍泄,中国香港 日本 韩国,1997,王家卫,8.9,401787,剧情 爱情 同性,爱情纠缠，男女一致。
